Flag_Url,Country
http://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Trinidad_and_Tobago.svg/120px-Flag_of_Trinidad_and_Tobago.svg.png,Trinidad and Tobago
http://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/120px-Flag_of_the_United_States.svg.png,United States of America
http://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Flag_of_Australia.svg/120px-Flag_of_Australia.svg.png,Australia
http://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Flag_of_East_Timor.svg/120px-Flag_of_East_Timor.svg.png,East Timor
http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Fiji.svg/120px-Flag_of_Fiji.svg.png,Fiji
http://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/120px-Flag_of_Indonesia.svg.png,Indonesia
http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kiribati.svg/120px-Flag_of_Kiribati.svg.png,Kiribati
http://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flag_of_the_Marshall_Islands.svg/120px-Flag_of_the_Marshall_Islands.svg.png,Marshall Islands
http://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg/120px-Flag_of_the_Federated_States_of_Micronesia.svg.png,Micronesia
http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Flag_of_Nauru.svg/120px-Flag_of_Nauru.svg.png,Nauru
http://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/120px-Flag_of_New_Zealand.svg.png,New Zealand
http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Palau.svg/120px-Flag_of_Palau.svg.png,Palau
http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Flag_of_Papua_New_Guinea.svg/120px-Flag_of_Papua_New_Guinea.svg.png,Papua New Guinea
http://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Samoa.svg/120px-Flag_of_Samoa.svg.png,Samoa
http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_the_Solomon_Islands.svg/120px-Flag_of_the_Solomon_Islands.svg.png,Solomon Islands
http://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Tonga.svg/120px-Flag_of_Tonga.svg.png,Tonga
http://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Tuvalu.svg/120px-Flag_of_Tuvalu.svg.png,Tuvalu
http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Vanuatu.svg/120px-Flag_of_Vanuatu.svg.png,Vanuatu
